IsoYear,BasicPlusPct,LimitedPct,UnimprovedPct,SurfacePct
ABW2000,94.4888063555081,<1,5.41957660372234,<1
AFG2000,27.4418560941262,3.29920308776308,43.8567769973269,25.4021638207839
AGO2000,41.1443097881583,21.0877032529026,9.07229274510237,28.6956942138367
AIA2000,96.1692307692308,<1,3.83076923076925,<1
ALB2000,86.3970439494077,10.1395255065388,2.53972475339568,<1
AND2000,>99,<1,<1,<1
ARE2000,>99,<1,<1,<1
ARG2000,96.2840257442126,<1,2.56925461014417,1.14671964564326
ARM2000,95.3321795073804,2.11009202274557,2.36107546564805,<1
ASM2000,94.9322903901615,<1,5.06770960983846,<1
ATG2000,-,-,-,-
AUS2000,>99,<1,<1,<1
AUT2000,>99,<1,<1,<1
AZE2000,73.4165803447003,7.71708474804985,8.37758473078831,10.4887501764615
BDI2000,50.6631178584695,19.4218710710697,14.505354463041,15.4096566074198
BEL2000,>99,<1,<1,<1
BEN2000,61.7404116172502,7.36471569055417,19.6564866125678,11.2383860796278
BES2000,98.6219132801866,<1,1.37808671981335,<1
BFA2000,57.5604209016516,10.4104929485461,25.719776970702,6.30930917910022
BGD2000,94.8189212128758,1.13027784442161,1.83872389380177,2.21207704890078
BGR2000,>99,<1,<1,<1
BHR2000,>99,<1,<1,<1
BHS2000,98.2454956108156,<1,1.7545043891844,<1
BIH2000,97.2697023620953,1.12929260993366,1.37789210875297,<1
BLM2000,>99,<1,<1,<1
BLR2000,98.3562356334077,1.35389492972363,<1,<1
BLZ2000,87.4314870895846,1.08629899009861,8.39995082614335,3.0822630941734
BMU2000,>99,<1,<1,<1
BOL2000,80.7715746117768,<1,6.20793673842254,12.6735172069563
BRA2000,93.4715252595615,<1,5.06161306949763,<1
BRB2000,98.3244234586283,<1,1.40849214659687,<1
BRN2000,>99,<1,<1,<1
BTN2000,82.3616023376971,1.99979774492916,6.09254765115866,9.54605226621511
BWA2000,75.1696350758408,20.4743406219031,1.36859819686243,2.98742610539371
CAF2000,59.0104896097958,8.16475420994013,26.3269294411601,6.49782673910397
CAN2000,>99,<1,<1,<1
CHE2000,>99,<1,<1,<1
CHL2000,95.7491208421222,<1,4.25087915787776,<1
CHN2000,78.8969610642735,<1,18.1387008262501,2.58075663012636
CIV2000,70.6328654119712,8.42266159596279,15.2196191367201,5.72485385534594
CMR2000,56.3102137004233,6.55924322191357,26.7285142175841,10.402028860079
COD2000,37.5599290974999,7.44815048560393,37.4648697240825,17.5270506928136
COG2000,57.1558732950325,9.75803449034573,24.7676628977027,8.3184293169191
COK2000,>99,<1,<1,<1
COL2000,91.9600501288055,<1,5.00490785849598,2.88844762875845
COM2000,90.9479272603879,1.66317937779619,5.68262419362421,1.70626916819175
CPV2000,79.129833821059,11.1603831167255,9.25818106516515,<1
CRI2000,94.4644859668649,<1,2.20081284255701,3.05151690684476
CUB2000,91.7215961948775,3.01135607895475,4.52748688840131,<1
CUW2000,98.6852087388099,<1,1.31479126119008,<1
CYM2000,-,-,-,-
CYP2000,>99,<1,<1,<1
CZE2000,>99,<1,<1,<1
DEU2000,>99,<1,<1,<1
DJI2000,75.4481658444559,14.8141757147237,8.7727135640745,<1
DMA2000,93.8314189861825,<1,6.16858101381754,<1
DNK2000,>99,<1,<1,<1
DOM2000,90.7924722514787,4.13045539872218,3.26885754891769,1.80821480088139
DZA2000,89.8488285798425,5.53854063220221,4.14198541185592,<1
ECU2000,82.307372343955,<1,8.69577133018037,8.07071357969707
EGY2000,98.2428696788173,<1,1.0577167370997,<1
ERI2000,46.8142131635351,21.8513921214651,27.802635827804,3.53175888719583
ESH2000,-,-,-,-
ESP2000,>99,<1,<1,<1
EST2000,97.3621551958531,<1,2.63784480414687,<1
ETH2000,18.6823027003951,6.81581145592286,42.612416063539,31.8894697801431
FIN2000,>99,<1,<1,<1
FJI2000,94.817182547085,<1,1.98180047081155,2.35604011297555
FLK2000,-,-,-,-
FRA2000,>99,<1,<1,<1
FRO2000,>99,<1,<1,<1
FSM2000,91.0896484335557,<1,8.91035156644435,-
GAB2000,80.4033637747278,3.78036781473858,4.54280895145641,11.2734594590772
GBR2000,>99,<1,<1,<1
GEO2000,94.5605847174906,<1,5.29169865633398,<1
GHA2000,65.2185051906446,9.63150722690456,8.34404925779573,16.8059383246551
